[2020-12-08 20:52:22] Error while retrieving https://www.youtube.com/feeds/videos.xml?channel_id=UCLb_x8TboHIoO0F7uYSl4Ww: Couldn't resolve host name
[2020-12-08 20:52:22] Error while retrieving https://www.youtube.com/feeds/videos.xml?channel_id=UC7mbY_PCZdwK5oo3yVBdR0A: Couldn't resolve host name
[2020-12-08 20:52:22] Error while retrieving https://www.youtube.com/feeds/videos.xml?channel_id=UCYk9lpGD4h7brb33QLNBThA: Couldn't resolve host name
[2020-12-09 08:50:03] Error while retrieving https://www.archlinux.org/feeds/news: Couldn't resolve host name
[2020-12-09 08:50:03] Error while retrieving https://www.youtube.com/feeds/videos.xml?channel_id=UC2eYFnH61tmytImy1mTYvhA: Couldn't resolve host name
[2020-12-09 08:50:03] Error while retrieving https://www.youtube.com/feeds/videos.xml?channel_id=UCe0TLA0EsQbE-MjuHXevj2A: Couldn't resolve host name
[2020-12-09 08:50:04] Error while retrieving https://www.youtube.com/feeds/videos.xml?channel_id=UCLb_x8TboHIoO0F7uYSl4Ww: Couldn't resolve host name
[2020-12-09 08:50:04] Error while retrieving https://www.youtube.com/feeds/videos.xml?channel_id=UC7mbY_PCZdwK5oo3yVBdR0A: Couldn't resolve host name
[2020-12-09 08:50:04] Error while retrieving https://www.youtube.com/feeds/videos.xml?channel_id=UCYk9lpGD4h7brb33QLNBThA: Couldn't resolve host name
[2020-12-09 09:21:02] Error while retrieving https://www.archlinux.org/feeds/news: Timeout was reached
[2020-12-09 09:21:02] Error while retrieving https://www.youtube.com/feeds/videos.xml?channel_id=UC2eYFnH61tmytImy1mTYvhA: Couldn't resolve host name
[2020-12-09 09:21:02] Error while retrieving https://www.youtube.com/feeds/videos.xml?channel_id=UCe0TLA0EsQbE-MjuHXevj2A: Couldn't resolve host name
[2020-12-09 09:21:02] Error while retrieving https://www.youtube.com/feeds/videos.xml?channel_id=UCLb_x8TboHIoO0F7uYSl4Ww: Couldn't resolve host name
[2020-12-09 09:21:02] Error while retrieving https://www.youtube.com/feeds/videos.xml?channel_id=UC7mbY_PCZdwK5oo3yVBdR0A: Couldn't resolve host name
[2020-12-09 09:21:02] Error while retrieving https://www.youtube.com/feeds/videos.xml?channel_id=UCYk9lpGD4h7brb33QLNBThA: Couldn't resolve host name
[2020-12-09 09:40:01] Error while retrieving https://www.archlinux.org/feeds/news: Couldn't resolve host name
[2020-12-09 09:40:01] Error while retrieving https://www.youtube.com/feeds/videos.xml?channel_id=UC2eYFnH61tmytImy1mTYvhA: Couldn't resolve host name
[2020-12-09 09:40:01] Error while retrieving https://www.youtube.com/feeds/videos.xml?channel_id=UCe0TLA0EsQbE-MjuHXevj2A: Couldn't resolve host name
[2020-12-09 09:40:01] Error while retrieving https://www.youtube.com/feeds/videos.xml?channel_id=UCLb_x8TboHIoO0F7uYSl4Ww: Couldn't resolve host name
[2020-12-09 09:40:01] Error while retrieving https://www.youtube.com/feeds/videos.xml?channel_id=UC7mbY_PCZdwK5oo3yVBdR0A: Couldn't resolve host name
